Easting,Northing,Loading
668317.7975,9196820.953,0.7
652621.9744,9195139.467,0.7
637425.4904,9193204.557,0.7
632441.8997,9191981.208,0.7
631924.7601,9184809.431,0.7
632655.6349,9178871.831,0.7
626355.6932,9104570.93,0.7
622808.2592,9102482.121,0.7
620884.5247,9103351.508,0.7
618897.9326,9103974.083,0.7
651142.6529,9121319.544,0.7
648149.196,9118365.203,7
624478.3225,9099792.562,0.0000014
644260.7247,9107510.933,0.0000014
646012.7376,9111209.589,0.0000014
647523.2046,9117008.734,1.4
677235.2876,9116779.052,0.0000014
662614.6427,9130791.934,1.4
657522.2071,9169987.86,6
634367.0106,9167585.163,4.2
627007.6947,9161053.62,10.5
633514.9978,9174510.948,4.9
619406.2488,9108201.132,4.2
620533.6656,9111531.751,11.2
621286.3375,9114122.73,11.2
613044.9075,9114446.954,11.2
623311.5859,9118989.198,28
619298.3712,9105602.988,1.4
619300.9966,9106590.637,1.4
619298.3712,9105602.988,1.4
616598.9099,9131203.191,35
610338.7816,9139186.343,42
629798.3207,9138024.302,28
630532.5213,9122797.613,49
631589.4355,9122856.338,56
645089.859,9126335.76,350
641221.3316,9121777.788,210
634325.4446,9123157.158,63
635568.5055,9123091.738,70
638982.8543,9121568.514,70
646602.6425,9127959.942,140
647444.6314,9128791.07,112
649546.8542,9125202.042,49
649963.3306,9128999.119,28
649323.0961,9132892.59,14
638403.7704,9140957.084,2.1
639182.8576,9141541.673,1.4
638023.806,9149206.377,21
617501.5074,9150188.734,10.5
647377.0217,9126551.215,224